epoch,train_losses,train_accuracies,test_losses,test_accuracies
61,0.03614575935403506,0.9881666666666666,0.045875779736042024,0.9854
62,0.03563193055490653,0.9885333333333334,0.04523625279068947,0.9852
63,0.03385990835924943,0.9893166666666666,0.045496802723407746,0.9849
64,0.033261414037148156,0.9894,0.045567298799753186,0.9848
65,0.03385370057125886,0.9891,0.04540817755460739,0.9856
66,0.03200669944882393,0.9896333333333334,0.042761305725574496,0.9867
67,0.03165187993943691,0.9897666666666667,0.04565437743663788,0.9854
68,0.031782593017816545,0.9894333333333334,0.04499362434148788,0.9845
69,0.03013426937262217,0.9905166666666667,0.04446297867894173,0.9854
70,0.030553191125392915,0.9899833333333333,0.04232314791679382,0.9871
71,0.03010402652223905,0.9906,0.04382260736823082,0.9865
72,0.028787598904967307,0.9905166666666667,0.0439161818087101,0.9859
73,0.02859702468017737,0.99105,0.043067416435480115,0.9857
74,0.028464721755186717,0.9910666666666667,0.0434606514275074,0.9854
75,0.027091561192274093,0.9915,0.04318775134086609,0.9855
76,0.02642342031300068,0.9914,0.042756812262535096,0.9858
77,0.02713183109064897,0.9915166666666667,0.04444922994971275,0.9849
78,0.025540185946722825,0.9917,0.041457581412792203,0.9857
79,0.025895596178372702,0.99165,0.0410641825735569,0.9872
80,0.023300047328074773,0.9928166666666667,0.04088093772530556,0.9872
81,0.02205696582098802,0.9932,0.04072241234183312,0.9873
82,0.021871463379263878,0.9934,0.04069487159848213,0.9874
83,0.02125858885695537,0.9936166666666667,0.04039715413451195,0.9874
84,0.02031221601466338,0.9938666666666667,0.04055353183150291,0.9874
85,0.02114502520362536,0.9936666666666667,0.04097883470654488,0.9869
86,0.020392292322715125,0.99385,0.041079700618982314,0.9868
87,0.02085009326438109,0.9935833333333334,0.041013255369663236,0.9871
88,0.02091746371189753,0.9936166666666667,0.04096403392553329,0.9872
89,0.020555160215000312,0.99355,0.04099734379649162,0.987
90,0.02000030260582765,0.9939833333333333,0.04080191536545753,0.9871
91,0.019704309826592603,0.9942,0.04093520905971527,0.9868
92,0.019300788348913193,0.9941833333333333,0.041067958921194074,0.9868
93,0.019830345204472542,0.9942833333333333,0.040920265817642215,0.987
94,0.020269640494386357,0.9937666666666667,0.04083165106773377,0.987
95,0.019519412941733996,0.9940333333333333,0.04118768558502197,0.9869
96,0.01975762574026982,0.9939333333333333,0.040915659952163695,0.9873
97,0.019647045536835987,0.99405,0.041064829087257386,0.9868
98,0.018374200167258582,0.99485,0.04126018004417419,0.9869
99,0.018684002530574798,0.9948166666666667,0.04122723834514618,0.9868
